date,name,population,cases,cumulative_cases,deaths,cumulative_deaths,tests,cumulative_tests
2020-02-01,California,40129160,25,25,0,0,305,305
2020-02-02,California,40129160,9,34,0,0,36,341
2020-02-03,California,40129160,7,41,0,0,29,370
2020-02-04,California,40129160,3,44,0,0,32,402
2020-02-05,California,40129160,3,47,0,0,45,447
2020-02-06,California,40129160,6,53,1,1,12,459
2020-02-07,California,40129160,31,84,0,1,453,912
2020-02-08,California,40129160,7,91,0,1,59,971
2020-02-09,California,40129160,5,96,0,1,21,992
2020-02-10,California,40129160,6,102,0,1,16,1008
2020-02-11,California,40129160,4,106,0,1,40,1048
2020-02-12,California,40129160,3,109,0,1,3,1051
2020-02-13,California,40129160,2,111,0,1,10,1061
2020-02-14,California,40129160,9,120,0,1,21,1082
2020-02-15,California,40129160,12,132,0,1,43,1125
2020-02-16,California,40129160,7,139,0,1,64,1189
2020-02-17,California,40129160,13,152,1,2,85,1274
2020-02-18,California,40129160,10,162,0,2,17,1291
2020-02-19,California,40129160,12,174,0,2,10,1301
2020-02-20,California,40129160,20,194,0,2,26,1327
2020-02-21,California,40129160,20,214,1,3,19,1346
2020-02-22,California,40129160,17,231,0,3,27,1373
2020-02-23,California,40129160,19,250,0,3,37,1410
2020-02-24,California,40129160,39,289,0,3,20,1430
2020-02-25,California,40129160,25,314,0,3,12,1442
2020-02-26,California,40129160,39,353,0,3,24,1466
2020-02-27,California,40129160,26,379,0,3,78,1544
2020-02-28,California,40129160,49,428,0,3,121,1665
2020-02-29,California,40129160,41,469,0,3,89,1754
2020-03-01,California,40129160,99,568,0,3,79,1833
2020-03-02,California,40129160,76,644,0,3,177,2010
2020-03-03,California,40129160,85,729,0,3,142,2152
2020-03-04,California,40129160,95,824,1,4,237,2389
2020-03-05,California,40129160,111,935,0,4,367,2756
2020-03-06,California,40129160,159,1094,1,5,411,3167
2020-03-07,California,40129160,164,1258,0,5,506,3673
2020-03-08,California,40129160,181,1439,0,5,321,3994
2020-03-09,California,40129160,332,1771,3,8,1029,5023
2020-03-10,California,40129160,359,2130,0,8,1186,6209
2020-03-11,California,40129160,428,2558,1,9,1859,8068
2020-03-12,California,40129160,517,3075,0,9,3457,11525
2020-03-13,California,40129160,584,3659,1,10,4466,15991
2020-03-14,California,40129160,515,4174,1,11,2782,18773
2020-03-15,California,40129160,602,4776,2,13,2765,21538
2020-03-16,California,40129160,881,5657,5,18,7761,29299
2020-03-17,California,40129160,839,6496,6,24,8943,38242
2020-03-18,California,40129160,779,7275,0,24,8925,47167
2020-03-19,California,40129160,787,8062,7,31,9025,56192
2020-03-20,California,40129160,964,9026,7,38,10034,66226
2020-03-21,California,40129160,694,9720,10,48,5084,71310
2020-03-22,California,40129160,766,10486,14,62,4641,75951
2020-03-23,California,40129160,1041,11527,18,80,12580,88531
2020-03-24,California,40129160,850,12377,18,98,11936,100467
2020-03-25,California,40129160,1045,13422,20,118,11725,112192
2020-03-26,California,40129160,972,14394,15,133,11778,123970
2020-03-27,California,40129160,1003,15397,22,155,12569,136539
2020-03-28,California,40129160,937,16334,26,181,7997,144536
2020-03-29,California,40129160,823,17157,25,206,5241,149777
2020-03-30,California,40129160,1385,18542,29,235,13957,163734
2020-03-31,California,40129160,1262,19804,42,277,13743,177477
2020-04-01,California,40129160,1508,21312,41,318,14972,192449
2020-04-02,California,40129160,1367,22679,56,374,15104,207553
2020-04-03,California,40129160,1512,24191,53,427,15304,222857
2020-04-04,California,40129160,1127,25318,38,465,8008,230865
2020-04-05,California,40129160,1141,26459,57,522,6073,236938
2020-04-06,California,40129160,1356,27815,36,558,13684,250622
2020-04-07,California,40129160,1418,29233,62,620,15231,265853
2020-04-08,California,40129160,1465,30698,64,684,15976,281829
2020-04-09,California,40129160,1398,32096,59,743,17869,299698
2020-04-10,California,40129160,1472,33568,62,805,18146,317844
2020-04-11,California,40129160,1052,34620,54,859,9202,327046
2020-04-12,California,40129160,1001,35621,68,927,5745,332791
2020-04-13,California,40129160,1520,37141,79,1006,15315,348106
2020-04-14,California,40129160,1497,38638,89,1095,16716,364822
2020-04-15,California,40129160,1661,40299,68,1163,19901,384723
2020-04-16,California,40129160,1675,41974,99,1262,19677,404400
2020-04-17,California,40129160,1606,43580,74,1336,20728,425128
2020-04-18,California,40129160,1207,44787,69,1405,12984,438112
2020-04-19,California,40129160,1083,45870,67,1472,8664,446776
2020-04-20,California,40129160,1923,47793,87,1559,22150,468926
2020-04-21,California,40129160,1671,49464,72,1631,25253,494179
2020-04-22,California,40129160,1766,51230,85,1716,24098,518277
2020-04-23,California,40129160,1843,53073,89,1805,25484,543761
2020-04-24,California,40129160,2008,55081,80,1885,29675,573436
2020-04-25,California,40129160,1618,56699,67,1952,19948,593384
2020-04-26,California,40129160,1270,57969,71,2023,11504,604888
2020-04-27,California,40129160,2250,60219,67,2090,34817,639705
2020-04-28,California,40129160,2102,62321,93,2183,35608,675313
2020-04-29,California,40129160,2035,64356,77,2260,35910,711223
2020-04-30,California,40129160,1937,66293,79,2339,40964,752187
2020-05-01,California,40129160,2231,68524,74,2413,45055,797242
2020-05-02,California,40129160,1388,69912,98,2511,26642,823884
2020-05-03,California,40129160,1151,71063,70,2581,15582,839466
2020-05-04,California,40129160,2399,73462,76,2657,45271,884737
2020-05-05,California,40129160,2580,76042,67,2724,48218,932955
2020-05-06,California,40129160,2347,78389,98,2822,56357,989312
